t,T_air,C_air,dT_dt,dC_dt,RH_percent(kg/kg dry air),RH_percent(kg/m3)
0,28.0,0.01963,0.008799999999999978,6.4999999999999666e-06,81.97871911796702,72.14790926245223
60,28.528,0.02002,0.009933333333333334,7.499999999999983e-06,81.02973410043342,71.48117852796275
120,29.192,0.02053,0.009633333333333353,8.166666666666681e-06,79.89647195859729,70.69270285700712
180,29.684,0.021,0.007041666666666657,8.166666666666681e-06,79.38202404437628,70.40327581143237
240,30.037,0.02151,0.009583333333333322,7.583333333333314e-06,79.61388474056737,70.74728606681214
300,30.834,0.02191,0.01046666666666667,6.833333333333315e-06,77.43098632281675,69.03125667121455
360,31.293,0.02233,0.008216666666666672,7.250000000000023e-06,76.8289308081238,68.64267944656602
420,31.82,0.02278,0.006900000000000025,7.666666666666672e-06,76.01499562629927,68.0805484104499
480,32.121,0.02325,0.007583333333333305,8.249999999999982e-06,76.21791933762648,68.3794722111832
540,32.73,0.02377,0.0090083333333333,8.583333333333331e-06,75.2319051642139,67.6840129579428
600,33.202,0.02428,0.009575000000000007,7.333333333333324e-06,74.77700132107647,67.43177231901116
660,33.879,0.02465,0.008883333333333354,6.499999999999995e-06,73.05464858368238,66.06198650982219
720,34.268,0.02506,0.007724999999999997,7.250000000000023e-06,72.63194494738798,65.80465447222872
780,34.806,0.02552,0.007283333333333353,8.83333333333335e-06,71.73813654600795,65.15489381587241
840,35.142,0.02612,0.005983333333333363,8.99999999999998e-06,72.00574009709815,65.52995806205698
900,35.524,0.0266,0.007908333333333318,6.250000000000005e-06,71.74634988855583,65.42321741736248
960,36.091,0.02687,0.006916666666666653,6.000000000000015e-06,70.22065417684539,64.176307910285
1020,36.354,0.02732,0.008133333333333326,8.83333333333332e-06,70.32591538082508,64.37178215197423
1080,37.067,0.02793,0.008874999999999982,7.833333333333332e-06,69.0849812027818,63.44113063358165
1140,37.419,0.02826,0.006791666666666648,8.166666666666681e-06,68.54039710327001,63.04444888398981
1200,37.882,0.02891,0.0059583333333333615,7.916666666666661e-06,68.30940538573735,62.98855052052414
1260,38.134,0.02921,0.007375000000000043,5.833333333333327e-06,68.05222275528641,62.83118742096603
1320,38.767,0.02961,0.008258333333333331,9.000000000000009e-06,66.62790202042093,61.67909846101688
1380,39.125,0.03029,0.005758333333333295,7.499999999999983e-06,66.78963796710282,61.96438161541991
1440,39.458,0.03051,0.003916666666666657,5.749999999999997e-06,66.06229014243986,61.37563207636936
1500,39.595,0.03098,0.005025000000000013,7.166666666666692e-06,66.5420745893313,61.89302147179839
1560,40.061,0.03137,0.005358333333333339,6.749999999999985e-06,65.68471714944093,61.223143234945574
1620,40.238,0.03179,0.004666666666666685,6.833333333333344e-06,65.89712913216913,61.49534239066156
1680,40.621,0.03219,0.007733333333333311,6.916666666666703e-06,65.34146844650344,61.08867230091721
1740,41.166,0.03262,0.0074333333333333,7.333333333333324e-06,64.2874532101467,60.247228459330195
1800,41.513,0.03307,0.006266666666666687,6.916666666666645e-06,63.94688931143928,60.035468715113964
1860,41.918,0.03345,0.0036583333333333337,7.999999999999962e-06,63.27991484595586,59.520263192979314
1920,41.952,0.03403,0.0028749999999999904,8.5e-06,64.20533691664345,60.45066487671775
1980,42.263,0.03447,0.005308333333333337,6.083333333333346e-06,63.93900566791131,60.299740663908054
2040,42.589,0.03476,0.004016666666666661,5.5000000000000075e-06,63.356927968143744,59.8389724756585
2100,42.745,0.03513,0.0033000000000000065,6.833333333333344e-06,63.475208192920206,60.01409665468952
2160,42.985,0.03558,0.005400000000000027,7.999999999999962e-06,63.44398736387736,60.07125966154261
2220,43.393,0.03609,0.004574999999999996,7.333333333333324e-06,62.95079672009815,59.72749897501528
2280,43.534,0.03646,0.004808333333333318,3.6666666666666907e-06,63.09605810295105,59.92566197106644
2340,43.97,0.03653,0.004733333333333315,4.000000000000011e-06,61.79620789229424,58.77817746396011
2400,44.102,0.03694,0.004441666666666677,6.500000000000024e-06,62.025401998640426,59.057481263339504
2460,44.503,0.03731,0.0046749999999999995,5.999999999999987e-06,61.32696718269722,58.499102761787604
2520,44.663,0.03766,0.0016500000000000032,6.749999999999985e-06,61.36082761558457,58.591971294249305
2580,44.701,0.03812,0.003958333333333345,6.166666666666647e-06,61.94556880179632,59.198651123178195
2640,45.138,0.0384,0.005183333333333332,3.8333333333333506e-06,60.98694228560648,58.38741962054962
2700,45.323,0.03858,0.0015499999999999995,5.250000000000046e-06,60.676945323733996,58.14024284219722
2760,45.324,0.03903,0.0011583333333333575,6.833333333333286e-06,61.33974990436974,58.81556134213238
2820,45.462,0.0394,0.004116666666666665,4.249999999999971e-06,61.450102499490356,58.97989892016496
2880,45.818,0.03954,0.0023083333333332825,6.083333333333346e-06,60.54175586230409,58.185306929658054
2940,45.739,0.04013,0.0009333333333333489,4.750000000000009e-06,61.63895655353094,59.277949886511145
3000,45.93,0.04011,0.0021666666666667095,5.249999999999989e-06,61.011355131144875,58.70775792241605
3060,45.999,0.04076,0.004850000000000006,4.916666666666669e-06,61.7213327295956,59.46208936523634
3120,46.512,0.0407,0.005024999999999954,4.3333333333333305e-06,60.04511863754102,57.93496956091415
3180,46.602,0.04128,0.0020750000000000195,7.250000000000023e-06,60.569621639950505,58.50865645695822
3240,46.761,0.04157,0.0027583333333333587,4.916666666666669e-06,60.47780188730197,58.474566070122705
3300,46.933,0.04187,0.001258333333333302,3.999999999999952e-06,60.3574422347252,58.41596732912768
3360,46.912,0.04205,0.00129999999999999,3.500000000000031e-06,60.665088159287414,58.72578377902891
3420,47.089,0.04229,0.0008000000000000303,3.500000000000031e-06,60.444364949914565,58.565633819279455
3480,47.008,0.04247,0.00018333333333332054,4.000000000000011e-06,60.934863774229754,59.04194741929179
3540,47.111,0.04277,0.003974999999999973,2.083333333333335e-06,61.01822391484644,59.168440509721165
3600,47.485,0.04272,0.003225000000000004,2.9166666666666344e-06,59.80888491763879,58.05912306171231
