t,R_cm,volume_ratio
0,2.0,1.0
1800,1.873,0.87703225
3600,1.794,0.804609
5400,1.703,0.7250522500000001
7200,1.625,0.66015625
9000,1.589,0.63123025
10800,1.552,0.602176
12600,1.51,0.570025
14400,1.477,0.5453822500000001
16200,1.447,0.5234522500000001
18000,1.424,0.506944
19800,1.397,0.48790225000000004
21600,1.374,0.4719690000000001
23400,1.356,0.45968400000000004
25200,1.337,0.44689225
27000,1.321,0.43626024999999996
28800,1.311,0.42968025
30600,1.299,0.42185025
32400,1.291,0.41667024999999996
34200,1.281,0.41024025
36000,1.273,0.4051322499999999
37800,1.266,0.400689
39600,1.26,0.39690000000000003
41400,1.253,0.39250224999999994
43200,1.248,0.389376
45000,1.244,0.386884
46800,1.24,0.3844
48600,1.236,0.381924
50400,1.233,0.38007225000000006
52200,1.229,0.37761025000000004
54000,1.226,0.37576899999999996
55800,1.223,0.3739322500000001
57600,1.221,0.3727102500000001
59400,1.219,0.3714902500000001
61200,1.218,0.37088099999999996
63000,1.216,0.369664
64800,1.214,0.36844899999999997
66600,1.213,0.36784225000000004
68400,1.212,0.367236
70200,1.211,0.36663025000000005
72000,1.21,0.366025
73800,1.209,0.36542025000000006
75600,1.208,0.364816
77400,1.207,0.36421225000000007
79200,1.206,0.36360899999999996
81000,1.206,0.36360899999999996
82800,1.205,0.36300625000000003
84600,1.205,0.36300625000000003
86400,1.204,0.36240399999999995
88200,1.204,0.36240399999999995
90000,1.203,0.36180225000000005
91800,1.203,0.36180225000000005
93600,1.203,0.36180225000000005
95400,1.203,0.36180225000000005
97200,1.202,0.361201
99000,1.202,0.361201
100800,1.202,0.361201
102600,1.202,0.361201
104400,1.202,0.361201
106200,1.201,0.36060025000000007
108000,1.201,0.36060025000000007
109800,1.201,0.36060025000000007
111600,1.201,0.36060025000000007
113400,1.201,0.36060025000000007
115200,1.201,0.36060025000000007
117000,1.201,0.36060025000000007
118800,1.201,0.36060025000000007
120600,1.201,0.36060025000000007
122400,1.201,0.36060025000000007
124200,1.201,0.36060025000000007
126000,1.2,0.36
127800,1.2,0.36
129600,1.2,0.36
131400,1.2,0.36
133200,1.2,0.36
135000,1.2,0.36
136800,1.2,0.36
138600,1.2,0.36
140400,1.2,0.36
142200,1.2,0.36
144000,1.2,0.36
145800,1.2,0.36
147600,1.2,0.36
149400,1.2,0.36
151200,1.2,0.36
153000,1.2,0.36
154800,1.2,0.36
156600,1.2,0.36
158400,1.2,0.36
160200,1.2,0.36
162000,1.2,0.36
163800,1.2,0.36
165600,1.2,0.36
167400,1.2,0.36
169200,1.2,0.36
171000,1.2,0.36
172800,1.2,0.36
174600,1.2,0.36
176400,1.2,0.36
178200,1.2,0.36
180000,1.2,0.36
181800,1.2,0.36
183600,1.2,0.36
185400,1.2,0.36
187200,1.2,0.36
189000,1.2,0.36
190800,1.2,0.36
192600,1.2,0.36
194400,1.2,0.36
196200,1.2,0.36
198000,1.2,0.36
199800,1.2,0.36
201600,1.2,0.36
203400,1.2,0.36
205200,1.2,0.36
207000,1.2,0.36
208800,1.199,0.35940025000000003
210600,1.199,0.35940025000000003
212400,1.199,0.35940025000000003
214200,1.199,0.35940025000000003
216000,1.199,0.35940025000000003
217800,1.199,0.35940025000000003
219600,1.199,0.35940025000000003
221400,1.199,0.35940025000000003
223200,1.199,0.35940025000000003
225000,1.199,0.35940025000000003
226800,1.199,0.35940025000000003
228600,1.199,0.35940025000000003
230400,1.199,0.35940025000000003
232200,1.199,0.35940025000000003
234000,1.199,0.35940025000000003
235800,1.199,0.35940025000000003
237600,1.199,0.35940025000000003
239400,1.199,0.35940025000000003
241200,1.198,0.358801
243000,1.198,0.358801
244800,1.198,0.358801
246600,1.198,0.358801
248400,1.198,0.358801
250200,1.198,0.358801
252000,1.198,0.358801
253800,1.198,0.358801
255600,1.198,0.358801
257400,1.198,0.358801
259200,1.198,0.358801
