t_s,kind,obs,fit,resid
60.0,center,2.5468732473026106,2.55,-0.003126752697389268
120.0,center,2.316664892857337,2.312586654663427,0.004078238193909733
180.0,center,2.54461240321708,2.55,-0.005387596782919779
240.0,center,2.21747479121658,2.2209952014529546,-0.003520410236374616
300.0,center,2.546608511703892,2.55,-0.003391488296107692
360.0,center,2.1554155883049138,2.1535400680782457,0.001875520226668037
420.0,center,2.5495149916514124,2.55,-0.0004850083485874457
480.0,center,2.0939485030426663,2.098478047286729,-0.004529544244062489
540.0,center,2.5532488917495333,2.55,0.003248891749533467
600.0,center,2.046930542231771,2.051277046262084,-0.004346504030313003
660.0,center,2.5542489923487453,2.55,0.004248992348745428
720.0,center,2.0040795051110005,2.009627740789546,-0.0055482356785456766
780.0,center,2.5454311667639535,2.55,-0.004568833236046288
840.0,center,1.9776571025674945,1.9721647811070877,0.0054923214604067905
900.0,center,2.5390251444217893,2.55,-0.01097485557821054
960.0,center,1.9321723522474208,1.9379998975469888,-0.005827545299567971
1020.0,center,2.5498120119640233,2.55,-0.00018798803597652736
1080.0,center,1.9121668844646973,1.9065196825377793,0.005647201926918033
1140.0,center,2.5497375580410515,2.55,-0.0002624419589483118
1200.0,center,1.8793127139491994,1.8772747613982288,0.002037952550970612
1260.0,center,2.5508775066522733,2.549999999999967,0.0008775066523063479
1320.0,center,1.8442373867031412,1.8499176332405465,-0.005680246537405287
1380.0,center,2.553823554335153,2.5499999999995584,0.003823554335594448
1440.0,center,1.8256715920769802,1.8241919279904593,0.0014796640865208932
1500.0,center,2.552826232794539,2.549999999996574,0.0028262327979646784
1560.0,center,1.8052240421492538,1.7998958203592683,0.005328221789985488
1620.0,center,2.555907099206562,2.5499999999799416,0.00590709922662036
1680.0,center,1.775726255403244,1.7768706544249215,-0.0011443990216775113
1740.0,center,2.545698411015528,2.54999999990555,-0.004301588890021968
1800.0,center,1.7672300765601319,1.7549672143948924,0.012262862165239419
60.0,surface,2.548563659793583,2.5499999996280898,-0.0014363398345067502
120.0,surface,1.7412616450094973,1.7340549746163372,0.007206670393160142
180.0,surface,2.5483719853057782,2.5499999987388984,-0.0016280134331201346
240.0,surface,1.7151163457774736,1.714054272941343,0.0010620728361305787
300.0,surface,2.552063700076104,2.5499999962317084,0.0020637038443958033
360.0,surface,1.6959223076827707,1.6948950178106175,0.0010272898721532808
420.0,surface,2.55562160825769,2.5499999898912655,0.005621618366424386
480.0,surface,1.6706003087656085,1.6764816642183131,-0.0058813554527046286
540.0,surface,2.5534112696182247,2.5499999752835185,0.0034112943347062163
600.0,surface,1.659687020065607,1.6587759795083044,0.0009110405573027336
660.0,surface,2.550417129384339,2.5499999442269625,0.00041718515737665385
720.0,surface,1.6456513243545479,1.6416981712583094,0.003953153096238449
780.0,surface,2.5489258535072756,2.549999882645813,-0.0010740291385373801
840.0,surface,1.6188655014847957,1.625208439096655,-0.006342937611859334
900.0,surface,2.5475772139948223,2.549999767745846,-0.002422553751023848
960.0,surface,1.6117879017953325,1.6092882451368953,0.0024996566584372104
1020.0,surface,2.553830362175835,2.5499995645063835,0.003830797669451602
1080.0,surface,1.5947414441961016,1.593862211127374,0.000879233068727725
1140.0,surface,2.5591315743455065,2.549999221540162,0.009132352805344635
1200.0,surface,1.5839772645721013,1.5789168343786972,0.005060430193404075
1260.0,surface,2.5453208774390603,2.549998666427458,-0.004677788988397769
1320.0,surface,1.5637220298238526,1.5644194073688653,-0.0006973775450127562
1380.0,surface,2.5587234447566387,2.5499978006762944,0.008725644080344264
1440.0,surface,1.5496606772712636,1.550343371418445,-0.0006826941471813619
1500.0,surface,2.5460752499415977,2.54999649449179,-0.00392124455019216
1560.0,surface,1.5471570274224982,1.5366631033586395,0.010493924063858628
1620.0,surface,2.5490672521355138,2.54999458155325,-0.0009273294177361002
1680.0,surface,1.5240684258158872,1.5233583422179668,0.0007100835979203524
1740.0,surface,2.5544241211893723,2.549991853998031,0.004432267191341488
1800.0,surface,1.507204711035578,1.5104098861007544,-0.00320517506517648
