dt/s,n_steps,t_dry/s,t_dry/h,wall/s,kind
60.0,6667.0,207120.68045288947,57.53352234802485,20.239557299995795,dt
30.0,13334.0,207026.54539201575,57.507373720004374,40.742825299996184,dt
10.0,40000.0,206963.76713045198,57.48993531401444,95.87113790000149,dt
5.0,80000.0,206948.06998759782,57.48557499655495,166.85383690000162,dt
2.0,200000.0,206938.65124302133,57.48295867861704,355.4070925999986,dt
1.0,400000.0,206935.51158689475,57.48208655191521,641.1308327999868,dt
200.0,,207120.9002272316,57.533583396453224,40.78561340000306,mesh
400.0,,207011.84968727102,57.503291579797505,50.04652450000867,mesh
800.0,,206975.01040286146,57.49305844523929,69.78631619999942,mesh
1600.0,,206963.76713045198,57.48993531401444,99.98629949998576,mesh
3200.0,,206960.62819477357,57.489063387437106,157.2736189999996,mesh
