kind,value,t_dry/s,t_dry/h,n_steps
dt,60.0,184092.9751430324,51.13693753973123,6667
dt,30.0,184021.89100892152,51.117191946922645,13334
dt,10.0,183974.48884534874,51.10402467926354,40000
dt,5.0,183962.6364266972,51.10073234074922,80000
dt,2.0,183955.5246756351,51.09875685434308,200000
dt,1.0,183953.15404505504,51.09809834584862,400000
mesh,200.0,183998.5431114982,51.11070641986061,40000
mesh,400.0,183980.7706326289,51.1057696201747,40000
mesh,800.0,183975.79073920118,51.104386316444774,40000
mesh,1600.0,183974.48884534874,51.10402467926354,40000
mesh,3200.0,183974.15877915127,51.103932994208684,40000
