props,C,T_C,rho,cp,k,D,Bi_heat,Bi_mass,t_diff_mass_h,t_diff_heat_s
appendix2,2.55,28.0,820.0,2600.0,0.36,4.937655094173937e-09,1.3888888888888888,3.2404045432170427,22.50280932789613,2368.888888888889
appendix2,2.55,40.0,820.0,2600.0,0.36,4.937655094173937e-09,1.3888888888888888,3.2404045432170427,22.50280932789613,2368.888888888889
appendix2,2.55,50.0,820.0,2600.0,0.36,4.937655094173937e-09,1.3888888888888888,3.2404045432170427,22.50280932789613,2368.888888888889
appendix2,1.5,28.0,820.0,2600.0,0.36,3.867378223070795e-09,1.3888888888888888,4.137169699242812,28.73034513363064,2368.888888888889
appendix2,1.5,40.0,820.0,2600.0,0.36,3.867378223070795e-09,1.3888888888888888,4.137169699242812,28.73034513363064,2368.888888888889
appendix2,1.5,50.0,820.0,2600.0,0.36,3.867378223070795e-09,1.3888888888888888,4.137169699242812,28.73034513363064,2368.888888888889
appendix2,0.2,28.0,820.0,2600.0,0.36,8.17499687927681e-11,1.3888888888888888,195.71872914788707,1359.1578413047714,2368.888888888889
appendix2,0.2,40.0,820.0,2600.0,0.36,8.17499687927681e-11,1.3888888888888888,195.71872914788707,1359.1578413047714,2368.888888888889
appendix2,0.2,50.0,820.0,2600.0,0.36,8.17499687927681e-11,1.3888888888888888,195.71872914788707,1359.1578413047714,2368.888888888889
appendix3,2.55,28.0,976.4,3415.295774647887,0.48295774647887324,5.641680373025664e-09,1.0352872557596966,2.8360344688260164,19.694683811291778,2761.8936179644206
appendix3,2.55,40.0,976.4,3415.295774647887,0.48295774647887324,9.208077762365051e-09,1.0352872557596966,1.737604787113622,12.066699910511264,2761.8936179644206
appendix3,2.55,50.0,976.4,3415.295774647887,0.48295774647887324,1.3470968217415811e-08,1.0352872557596966,1.1877394216782842,8.248190428321417,2761.8936179644206
appendix3,1.5,28.0,842.0,3091.6,0.43800000000000006,4.986092554724391e-09,1.141552511415525,3.2089255914112105,22.284205495911184,2377.2851141552505
appendix3,1.5,40.0,842.0,3091.6,0.43800000000000006,8.138059042438905e-09,1.141552511415525,1.966070769032531,13.653269229392576,2377.2851141552505
appendix3,1.5,50.0,842.0,3091.6,0.43800000000000006,1.1905583069705804e-08,1.141552511415525,1.34390730015673,9.332689584421736,2377.2851141552505
appendix3,0.2,28.0,675.6,1906.0,0.2733333333333333,7.093916890678403e-10,1.829268292682927,22.55453545138713,156.62871841241062,1884.4296585365855
appendix3,0.2,40.0,675.6,1906.0,0.2733333333333333,1.157834794779227e-09,1.829268292682927,13.81889719685859,95.96456386707355,1884.4296585365855
appendix3,0.2,50.0,675.6,1906.0,0.2733333333333333,1.6938557779385075e-09,1.829268292682927,9.445904550074896,65.59655937552012,1884.4296585365855
appendix4,2.55,28.0,989.5,3394.366197183099,0.26366197183098594,1.047112298949363e-09,1.896367521367521,15.280118489730146,106.11193395645935,5095.502136752137
appendix4,2.55,40.0,989.5,3394.366197183099,0.26366197183098594,1.7090460354250048e-09,1.896367521367521,9.361947933732006,65.01352731758337,5095.502136752137
appendix4,2.55,50.0,989.5,3394.366197183099,0.26366197183098594,2.5002509122378996e-09,1.896367521367521,6.399357729132426,44.43998423008629,5095.502136752137
appendix4,1.5,28.0,895.0,3140.0,0.24000000000000002,9.643347851051086e-10,2.083333333333333,16.5917482674402,115.22047407944582,4683.833333333333
appendix4,1.5,40.0,895.0,3140.0,0.24000000000000002,1.5739405820750555e-09,2.083333333333333,10.165567990442106,70.59422215584796,4683.833333333333
appendix4,1.5,50.0,895.0,3140.0,0.24000000000000002,2.3025982299902137e-09,2.083333333333333,6.94867206601996,48.25466712513861,4683.833333333333
appendix4,0.2,28.0,778.0,2208.3333333333335,0.15333333333333332,2.6281188806976457e-10,3.2608695652173916,60.88004662769566,422.77810158121986,4481.956521739132
appendix4,0.2,40.0,778.0,2208.3333333333335,0.15333333333333332,4.2894884896191247e-10,3.2608695652173916,37.300484751786065,259.0311441096255,4481.956521739132
appendix4,0.2,50.0,778.0,2208.3333333333335,0.15333333333333332,6.275312242561768e-10,3.2608695652173916,25.49673925622596,177.06068927934695,4481.956521739132
