problem,grid,n_cell,dt,T_center,C_center,C_surf,t_dry
P1,node,200,1.0,34.04249714994656,2.5499923209276405,1.5109449780760118,
P1,node,400,1.0,34.04249839858273,2.549992383177442,1.5109319759759605,
P1,node,800,1.0,34.04249871074352,2.5499923987119657,1.5109287262984579,
P1,node,1600,1.0,34.042498788837825,2.5499924025939,1.5109279139299439,
P1,node,800,2.0,34.042498371846,2.5499923956278274,1.5109385892209655,
P1,node,800,5.0,34.04249536331877,2.5499923767226873,1.5109701678655398,
P1,cell,800,1.0,34.04250247830661,2.549992397659533,1.5109163810218327,
P1,cell,1600,1.0,34.042499730972686,2.5499924023300817,1.510924800462024,
P3,node,200,1.0,,0.13717244500236092,0.05266013501756326,205371.74539989443
P3,node,400,1.0,,0.13720989771338962,0.05266334821432555,205501.86781711775
P3,node,800,1.0,,0.13722410474674857,0.052664766880157844,205550.9392890432
P3,node,1600,1.0,,0.13722892612355742,0.05266532014451571,205567.45865568708
P3,node,800,2.0,,0.13722380699079353,0.052664752256116304,205549.51857585405
P3,node,800,5.0,,0.1372229139324855,0.05266470839712189,205545.2573740027
P3,cell,800,1.0,,0.1372061433934998,0.05193542892343506,205485.41850624085
P3,cell,1600,1.0,,0.13722187795616547,0.05228304180049036,205542.09643593538
P4,node,200,1.0,,0.12304503740226806,0.052155730943616155,182739.05319151355
P4,node,400,1.0,,0.12305678903968682,0.05215662680737874,182766.24667448486
P4,node,800,1.0,,0.12306016796216933,0.052156884329232586,182774.2110533615
P4,node,1600,1.0,,0.12306106135306384,0.05215695214619946,182776.33561733083
P4,node,800,2.0,,0.12305978927738315,0.05215687173060634,182772.85592764468
P4,node,800,5.0,,0.12305865325455273,0.05215683393604111,182768.79047378656
P4,cell,800,1.0,,0.12305003429492066,0.05208903741319064,182747.9158152001
P4,cell,1600,1.0,,0.12305799149760112,0.05213548239627254,182768.3296020017
