PROBLEMS 2-3 diagnostics
cells = 1600, schedule = [(7200.0, 1.0), (259200.0, 10.0)], steps = 32400, wall = 29.6 s
drying time t_dry = 205553.7995 s = 57.0983 h = 2.3791 d
C at the centre and at the surface when the target is met:
   C_center = 0.150000, C_surface = 0.053588, C_max = 0.150000

   t/h    T_center  T_surf   C(r=0)  C(0.5)  C(1.0)  C(1.5)  C(2.0)
     0.0   28.000   28.000    2.5500  2.5500  2.5500  2.5500  2.5234
     6.0   50.212   50.212    1.0149  0.9863  0.9003  0.7548  0.5343
    12.0   50.212   50.212    0.4546  0.4417  0.4019  0.3291  0.1651
    18.0   50.212   50.212    0.2978  0.2905  0.2678  0.2247  0.0853
    24.0   50.212   50.212    0.2370  0.2320  0.2160  0.1850  0.0673
    30.0   50.212   50.212    0.2052  0.2012  0.1886  0.1636  0.0607
    36.0   50.212   50.212    0.1853  0.1820  0.1713  0.1500  0.0575
    42.0   50.212   50.212    0.1716  0.1686  0.1593  0.1404  0.0557
    48.0   50.212   50.212    0.1614  0.1588  0.1503  0.1331  0.0546
    54.0   50.212   50.212    0.1535  0.1510  0.1433  0.1274  0.0539
    60.0   50.212   50.212    0.1471  0.1448  0.1376  0.1228  0.0534
    66.0   50.212   50.212    0.1418  0.1397  0.1329  0.1189  0.0530
    72.0   50.212   50.212    0.1373  0.1354  0.1289  0.1157  0.0527

mean moisture at t_dry = 0.123213 kg/kg
