method,n,dt,C_center,C_surf,C_mean,wall
MOL/BDF,75,600.0,0.15146045163998484,0.05370857046396556,0.12486889066619429,0.14193344116210938
MOL/BDF,150,600.0,0.15159167576931004,0.05371924124645007,0.12526593132231498,0.21904921531677246
MOL/BDF,300,600.0,0.1516474842438667,0.05372428602697568,0.12543857561530095,0.30561113357543945
MOL/BDF,600,600.0,0.15166930064202694,0.05372655366234253,0.1255078284279279,0.46523141860961914
MOL/BDF,1200,600.0,0.15167699031470463,0.05372749385669184,0.12553282555734965,0.7419881820678711
FV/CN-node,200,1.0,0.15162052622099628,0.05372178378462615,0.12430740388425901,18.354201078414917
FV/CN-node,400,1.0,0.1516587473753591,0.05372543063057797,0.12438182645974961,20.212210655212402
FV/CN-node,800,1.0,0.15167309414074506,0.05372702364112988,0.12441019022840957,24.203391790390015
FV/CN-node,1600,1.0,0.15167791438366054,0.0537276538061719,0.1244198654901915,31.30524706840515
FV/CN-cell,200,1.0,0.15151620804195776,0.051478287806151546,0.12402116781680032,18.68465256690979
FV/CN-cell,400,1.0,0.15161250394075315,0.05221407833145666,0.12422694614230316,20.674678087234497
FV/CN-cell,800,1.0,0.15165375879766632,0.05279080957454696,0.12432922352446907,25.04158592224121
FV/CN-cell,1600,1.0,0.15167045363689888,0.053210695400328835,0.12438046856738434,32.26630663871765
