method,n,C_center,C_surf,C_mean
MOL/BDF,150,0.14193681732449392,0.05306808402153093,0.1128957314736981
MOL/BDF,300,0.14195883017068292,0.053070343694010896,0.11294457770766936
MOL/BDF,600,0.14196560244752784,0.053071076346617285,0.11295888820019767
MOL/BDF,1200,0.14196746340492605,0.05307128225045993,0.11296271741084274
FV/CN-node,200,0.14194835305548095,0.05306928415799714,0.11236269013574425
FV/CN-node,400,0.14196207512174044,0.05307072985222048,0.11238301360993144
FV/CN-node,800,0.14196607991200205,0.05307116843092862,0.11238879522692413
FV/CN-node,1600,0.14196714640404468,0.053071286889801804,0.1123903159597336
FV/CN-cell,200,0.14184536957810392,0.052372878106393614,0.11219142843165648
FV/CN-cell,400,0.14192401160460358,0.05274259790743754,0.11231649729838225
FV/CN-cell,800,0.14195333364118487,0.0529397120797436,0.11236561653442122
FV/CN-cell,1600,0.1419632630710824,0.05302622659841619,0.11238305696198905
