case,quantity,change,t_dry_h,delta_h
P3,D0 pre-exponential,-2%,58.10793426305373,1.027857837786982
P3,D0 pre-exponential,-1%,57.58869212494336,0.5086156996766173
P3,D0 pre-exponential,+1%,56.581768866081106,-0.49830755918564035
P3,D0 pre-exponential,+2%,56.09346374856879,-0.9866126766979546
P3,activation T (3850 K),-2%,46.471849636613186,-10.608226788653555
P3,activation T (3850 K),-1%,51.44397621299004,-5.636100212276708
P3,activation T (3850 K),+1%,63.4647624383683,6.384686013101551
P3,activation T (3850 K),+2%,70.69323282418054,13.613156398913796
P3,concentration exponent,-2%,54.440282019061485,-2.639794406205256
P3,concentration exponent,-1%,55.740912066479716,-1.3391643587870283
P3,concentration exponent,+1%,58.45886576236941,1.3787893371026683
P3,concentration exponent,+2%,59.87840554490809,2.7983291196413482
P3,rho correlation,-2%,57.07822451198973,-0.0018519132770112871
P3,cp correlation,-2%,57.078224511989966,-0.0018519132767768395
P3,k correlation,-2%,57.080356683905286,0.0002802586385466081
P3,rho correlation,+2%,57.08193108302556,0.0018546577588131185
P3,cp correlation,+2%,57.08193108302605,0.0018546577593062667
P3,k correlation,+2%,57.07980755331607,-0.0002688719506679465
P3,h_m (mass transfer),-10%,57.822639808355696,0.7425633830889516
P3,h_m (mass transfer),-5%,57.4279288889737,0.3478524637069576
P3,h_m (mass transfer),+5%,56.77179373099228,-0.30828269427446586
P3,h_m (mass transfer),+10%,56.49718758701664,-0.582888838250106
P3,h (heat transfer),-10%,57.08886790864271,0.008791483375971439
P3,h (heat transfer),+10%,57.072914257859544,-0.00716216740719877
P4,D0 pre-exponential,-2%,51.67486749935966,0.9098851421240397
P4,D0 pre-exponential,-1%,51.2152680328467,0.450285675611085
P4,D0 pre-exponential,+1%,50.32373302996335,-0.4412493272722673
P4,D0 pre-exponential,+2%,49.891253433693485,-0.8737289235421324
P4,activation T (3850 K),-2%,41.349979424976524,-9.415002932259094
P4,activation T (3850 K),-1%,45.76877753853554,-4.996204818700078
P4,activation T (3850 K),+1%,56.41100169313585,5.646019335900233
P4,activation T (3850 K),+2%,62.77994168398958,12.01495932675396
P4,concentration exponent,-2%,49.29845953900568,-1.4665228182299406
P4,concentration exponent,-1%,50.02480018120987,-0.7401821760257493
P4,concentration exponent,+1%,51.5192566722752,0.7542743150395836
P4,concentration exponent,+2%,52.28787951165816,1.5228971544225431
P4,rho correlation,-2%,50.76318830033344,-0.0017940569021771403
P4,cp correlation,-2%,50.763188300332935,-0.001794056902678373
P4,k correlation,-2%,50.76534156835594,0.0003592111203276242
P4,rho correlation,+2%,50.76678242705917,0.0018000698235522982
P4,cp correlation,+2%,50.76678242705914,0.0018000698235280449
P4,k correlation,+2%,50.76463819520603,-0.00034416202958608566
P4,h_m (mass transfer),-10%,51.059800242794346,0.29481788555873206
P4,h_m (mass transfer),-5%,50.901796231040514,0.13681387380489873
P4,h_m (mass transfer),+5%,50.64573848777447,-0.11924386946114181
P4,h_m (mass transfer),+10%,50.54118513131891,-0.22379722591670645
P4,h (heat transfer),-10%,50.77305167323127,0.008069315995655617
P4,h (heat transfer),+10%,50.75843718325432,-0.006545173981293273
P3,set-point temperature,-0.5 K,58.01367597478324,0.9335995495164955
P3,set-point temperature,-0.2 K,57.45100828524435,0.3709318599776048
P3,set-point temperature,+0.2 K,56.71244983392586,-0.3676265913408861
P3,set-point temperature,+0.5 K,56.167136654542496,-0.9129397707242445
P3,set-point moisture,-2%,57.055279677584515,-0.024796747682226446
P3,set-point moisture,-1%,57.06759593279776,-0.012480492468983155
P3,set-point moisture,+1%,57.092726986613016,0.01265056134627634
P3,set-point moisture,+2%,57.105555264001076,0.025478838734335214
P3,preheat->constant switch,2 h,57.07836403824473,-0.0017123870220125859
P3,preheat->constant switch,6 h,57.08002759103888,-4.883422786305245e-05
P3,preheat->constant switch,8 h,57.08001737593039,-5.904933635772775e-05
P3,preheat time constant,x0.8,57.05816333213021,-0.021913093136528106
P3,preheat time constant,x1.2,57.10254214531342,0.022465720046675415
P3,no preheat ramp (T_air=28),alt,56.98149755308399,-0.09857887218275412
P3,raw measured chamber data,noise,57.142879681826784,0.06280325656004102
P4,set-point temperature,-0.5 K,51.59164878531145,0.8266664280758333
P4,set-point temperature,-0.2 K,51.09346282673074,0.3284804694951243
P4,set-point temperature,+0.2 K,50.43938378281292,-0.32559857442270085
P4,set-point temperature,+0.5 K,49.95632838233883,-0.8086539748967819
P4,set-point moisture,-2%,50.74054261603359,-0.02443974120202054
P4,set-point moisture,-1%,50.75261934944159,-0.012363007794030838
P4,set-point moisture,+1%,50.777639822136436,0.012657464900823673
P4,set-point moisture,+2%,50.79059952101547,0.02561716377985754
P4,preheat->constant switch,2 h,50.7617441878536,-0.0032381693820126302
P4,preheat->constant switch,6 h,50.76503124405185,4.88868162291409e-05
P4,preheat->constant switch,8 h,50.765028494405975,4.613717035681475e-05
P4,preheat time constant,x0.8,50.74229005308945,-0.022692304146168883
P4,preheat time constant,x1.2,50.788838948402756,0.02385659116714022
P4,no preheat ramp (T_air=28),alt,50.66934066694788,-0.09564169028773095
P4,raw measured chamber data,noise,50.81697483234035,0.051992475104731664
P3,evaporative cooling ON,latent,62.41992353987542,5.339847114608678
P4,evaporative cooling ON,latent,56.02006388380312,5.255081526567503
P4,shrinkage OFF (R = 2 cm),alt,,
P4,volume term in energy eq.,alt,50.518232988108124,-0.24674936912749318
P4,smoothed R(t) instead of table,alt,50.67112131670464,-0.0938610405309737
