== 谱配置法 vs 解析解（问题1 温度场，t=1800 s）==
N      T(0)误差      T(R)误差      全场max误差    条件数估计
N=8     +1.102e-10  +6.821e-11   1.102e-10
N=12    +1.106e-10  +6.848e-11   1.106e-10
N=16    +1.132e-10  +7.010e-11   1.132e-10
N=20    +1.121e-10  +6.945e-11   1.121e-10
N=24    +1.134e-10  +7.025e-11   1.134e-10
N=32    +1.138e-10  +7.050e-11   1.138e-10
N=48    +1.142e-10  +7.081e-11   1.143e-10
N=64    +1.136e-10  +7.039e-11   1.137e-10
N=96    +1.150e-10  +7.130e-11   1.151e-10
N=128   +1.158e-10  +7.169e-11   1.159e-10

== 时间积分精度（N=64）==
rtol=1e-08 atol=1e-11  T(0)-exact=+1.025e-07  T(R)-exact=+6.971e-08  nfev=522
rtol=1e-10 atol=1e-13  T(0)-exact=+2.344e-09  T(R)-exact=+1.482e-09  nfev=1050
rtol=1e-12 atol=1e-15  T(0)-exact=+1.145e-10  T(R)-exact=+7.098e-11  nfev=1776
