== 问题1 有限体积参照解收敛性 ==
N     dt      T(0,1800)    T(R,1800)    C(0,1800)    C(R,1800)   C(1.5cm)   C(R,1200)
目标值         34.0425      37.1989      (2.5500)     1.5109      2.3755      1.6592
N=200  dt=2.00    34.044684    37.200004     2.549992      1.511111    2.3756     1.6594
N=200  dt=1.00    34.043591    37.199464     2.549992      1.511023    2.3756     1.6593
N=200  dt=0.50    34.043044    37.199193     2.549992      1.510979    2.3756     1.6592
N=400  dt=2.00    34.044685    37.200004     2.549992      1.511098    2.3756     1.6594
N=400  dt=1.00    34.043592    37.199463     2.549992      1.511010    2.3756     1.6593
N=400  dt=0.50    34.043045    37.199193     2.549992      1.510966    2.3756     1.6592
N=800  dt=1.00    34.043592    37.199463     2.549992      1.511007    2.3756     1.6593
N=800  dt=0.50    34.043046    37.199193     2.549992      1.510963    2.3756     1.6592
N=800  dt=0.25    34.042772    37.199057     2.549992      1.510941    2.3756     1.6592

== 表2 有限体积 N=800 dt=0.25 ==
t/s         r=0.0     r=0.5     r=1.0     r=1.5     r=2.0
100        2.5500    2.5500    2.5500    2.5500    2.2472
300        2.5500    2.5500    2.5500    2.5492    2.0510
600        2.5500    2.5500    2.5500    2.5353    1.8773
900        2.5500    2.5500    2.5497    2.5045    1.7552
1200       2.5500    2.5500    2.5482    2.4646    1.6592
1500       2.5500    2.5499    2.5445    2.4207    1.5794
1800       2.5500    2.5497    2.5383    2.3756    1.5109
== 表2 谱配置法 N=64 对照 ==
100        2.5500    2.5500    2.5500    2.5500    2.2471
300        2.5500    2.5500    2.5500    2.5492    2.0510
600        2.5500    2.5500    2.5500    2.5353    1.8773
900        2.5500    2.5500    2.5497    2.5046    1.7552
1200       2.5500    2.5500    2.5482    2.4646    1.6591
1500       2.5500    2.5499    2.5445    2.4207    1.5794
1800       2.5500    2.5497    2.5383    2.3756    1.5109
